id,graph_id,label
0,0,-420.93375|39.694626|0.62184143|-16.013|4.162|36.768074|15.72523|-3.98613|-10.9488|0.1323|-14.1341|1.087|2.534576|2.43222
1,0,
2,0,
3,0,
4,0,
5,1,-718.4192|22.622486|0.62832844|-13.549|3.684|11.717433|13.41121|-3.49181|-9.5577|0.1452|-12.5472|1.1186|4.332028|4.445
6,1,
7,1,
8,1,
9,1,
10,1,
11,1,
12,1,
13,2,-570.02484|22.94067|0.7090596|-10.16|1.231|7.1372666|9.75211|-0.82042|-7.8768|-0.062|-10.4383|1.9456|4.173282|3.92308
14,2,
15,2,
16,2,
17,2,
18,2,
19,3,-410.28616|15.973799|2.2284796|-10.706|2.145|4.6241074|10.46577|-1.89847|-8.4021|0.4143|-11.1629|1.1958|3.512394|3.32175
20,3,
21,3,
22,3,
23,4,-868.8554|17.900517|0.5561737|-12.365|3.825|10.311655|11.96491|-3.57487|-8.3534|0.269|-10.8132|1.2002|5.48016|5.78632
24,4,
25,4,
26,4,
27,4,
28,4,
29,4,
30,4,
31,4,
32,5,-1017.3128|15.769358|0.538614|-12.816|3.429|10.952377|12.65897|-3.21095|-9.1147|0.1173|-11.9831|1.0778|6.170637|6.52733
33,5,
34,5,
35,5,
36,5,
37,5,
38,5,
39,5,
40,5,
41,5,
42,5,
43,6,-872.6194|6.710246|0.4292548|-9.562|1.364|6.710246|9.10045|-0.85739|-7.349|0.169|-9.7903|1.0717|6.094932|6.09119
44,6,
45,6,
46,6,
47,6,
48,6,
49,6,
50,6,
51,6,
52,7,-716.9125|14.555907|1.4450674|-9.925|2.38|4.382719|9.58727|-2.0124|-7.6952|0.0425|-10.247|0.9441|5.535045|5.69181
53,7,
54,7,
55,7,
56,7,
57,7,
58,7,
59,8,-736.3637|20.438484|0.3803873|-11.109|3.573|9.062385|10.47576|-3.37354|-7.321|0.0897|-9.7026|1.1139|4.984783|5.12326
60,8,
61,8,
62,8,
63,8,
64,8,
65,8,
66,8,
67,9,-889.7596|16.505575|0.3694749|-10.641|3.6|8.813421|10.04543|-3.37275|-6.9276|-0.0011|-9.3504|1.0384|5.760087|5.92003
68,9,
69,9,
70,9,
71,9,
72,9,
73,9,
74,9,
75,9,
76,9,
77,10,-628.2557|12.513883|0.8497509|-12.005|1.418|5.3922257|11.60198|-1.11074|-9.4054|-0.2887|-12.0735|0.7005|4.45756|4.66876
78,10,
79,10,
80,10,
81,10,
82,10,
83,11,-881.9059|17.734201|0.40028504|-10.093|3.833|8.26487|9.45197|-3.69332|-6.4807|0.051|-8.8174|1.0623|5.804944|5.91386
84,11,
85,11,
86,11,
87,11,
88,11,
89,11,
90,11,
91,11,
92,11,
93,12,-667.8444|22.504402|0.9698656|-12.207|3.182|9.290506|11.33609|-3.00351|-7.9787|0.1868|-10.3916|1.1432|4.309725|4.53616
94,12,
95,12,
96,12,
97,12,
98,12,
99,12,
100,13,-822.48773|16.843721|0.2616036|-12.297|3.316|10.055562|11.73717|-3.10694|-7.918|-0.0441|-10.4204|1.0274|5.053622|5.29455
101,13,
102,13,
103,13,
104,13,
105,13,
106,13,
107,13,
108,13,
109,14,-691.78845|18.47602|0.43260336|-11.103|-0.071|3.6771395|10.23465|0.60414|-7.564|-0.8793|-9.948|1.3801|4.584432|4.66253
110,14,
111,14,
112,14,
113,14,
114,14,
115,14,
116,15,-810.4797|19.493748|0.5657809|-11.772|3.563|9.515665|11.08823|-3.44428|-7.4877|0.0787|-9.9342|1.066|5.116036|5.31348
117,15,
118,15,
119,15,
120,15,
121,15,
122,15,
123,15,
124,15,
125,16,-1168.8906|14.635307|0.49972457|-12.282|3.314|10.609978|12.06392|-3.14312|-8.5616|0.1531|-10.998|1.0928|7.280778|7.72682
126,16,
127,16,
128,16,
129,16,
130,16,
131,16,
132,16,
133,16,
134,16,
135,16,
136,16,
137,17,-1169.3745|11.45922|0.37273666|-11.468|3.413|9.49124|11.14079|-3.11772|-7.8692|0.1994|-10.257|1.0987|7.351207|7.96732
138,17,
139,17,
140,17,
141,17,
142,17,
143,17,
144,17,
145,17,
146,17,
147,17,
148,17,
149,18,-1316.1769|15.630964|0.5292826|-12.564|3.271|10.674649|12.40705|-3.04713|-8.9615|0.1239|-11.7457|1.0594|8.02693|8.76159
150,18,
151,18,
152,18,
153,18,
154,18,
155,18,
156,18,
157,18,
158,18,
159,18,
160,18,
161,18,
162,18,
163,19,-1316.9514|15.37745|0.4214473|-12.657|3.191|10.734001|12.42961|-2.93099|-8.9597|0.0479|-11.6376|0.9984|8.009455|8.58759
164,19,
165,19,
166,19,
167,19,
168,19,
169,19,
170,19,
171,19,
172,19,
173,19,
174,19,
175,19,
176,19,
177,20,-1030.3788|5.3150816|0.81874776|-8.677|0.226|5.3150816|8.24319|0.24469|-6.7951|-1.01|-8.9363|0.7021|8.562859|7.93143
178,20,
179,20,
180,20,
181,20,
182,20,
183,20,
184,20,
185,20,
186,20,
187,21,-871.41626|14.381867|0.8175285|-8.955|0.428|4.076263|8.59068|0.03933|-7.1701|-1.1543|-9.439|0.6052|7.770683|7.48844
188,21,
189,21,
190,21,
191,21,
192,21,
193,21,
194,21,
195,22,-715.3818|14.8196745|3.075847|-9.24|0.797|3.3530898|8.9547|-0.48781|-7.6444|-1.0544|-9.9102|0.8388|7.518621|7.10162
196,22,
197,22,
198,22,
199,22,
200,22,
201,23,-1174.5293|6.3306384|0.4070446|-9.047|1.465|6.3306384|8.57931|-0.87935|-6.8844|0.1885|-9.2259|1.0504|8.069913|8.48143
202,23,
203,23,
204,23,
205,23,
206,23,
207,23,
208,23,
209,23,
210,23,
211,23,
212,23,
213,24,-1175.0408|6.428798|0.4116902|-9.171|1.456|6.428798|8.60509|-0.86896|-7.0215|0.0287|-9.3339|0.9536|7.973585|8.19979
214,24,
215,24,
216,24,
217,24,
218,24,
219,24,
220,24,
221,24,
222,24,
223,24,
224,24,
225,25,-1022.2052|13.909543|1.6180898|-9.269|2.567|4.1617265|8.88976|-2.09794|-7.0972|0.0256|-9.5498|0.9003|7.643979|8.47568
226,25,
227,25,
228,25,
229,25,
230,25,
231,25,
232,25,
233,25,
234,25,
235,26,-1171.1454|6.6881766|0.4403843|-9.514|1.381|6.6881766|9.0094|-0.84282|-7.3524|0.0341|-9.6898|1.312|7.997701|8.29777
236,26,
237,26,
238,26,
239,26,
240,26,
241,26,
242,26,
243,26,
244,26,
245,26,
246,26,
247,27,-1015.3614|10.673955|0.7686493|-9.848|2.381|4.366725|9.488|-1.99388|-7.634|-0.0032|-10.0822|0.9965|7.431522|7.90333
248,27,
249,27,
250,27,
251,27,
252,27,
253,27,
254,27,
255,27,
256,27,
257,28,-1037.0482|15.051106|0.27620098|-10.254|3.458|8.480456|9.61627|-3.25747|-6.5953|0.0587|-8.9137|1.0454|6.812681|7.10065
258,28,
259,28,
260,28,
261,28,
262,28,
263,28,
264,28,
265,28,
266,28,
267,28,
268,29,-1038.8326|11.704985|0.23613226|-11.022|3.288|8.920297|10.36341|-3.01842|-7.2323|0.0501|-9.4977|1.0285|6.871757|7.32674
269,29,
270,29,
271,29,
272,29,
273,29,
274,29,
275,29,
276,29,
277,29,
278,29,
279,30,-1188.5127|15.879259|0.29796863|-10.634|3.357|8.773299|10.01276|-3.12205|-6.9194|0.0257|-9.2934|1.0258|7.587945|8.10678
280,30,
281,30,
282,30,
283,30,
284,30,
285,30,
286,30,
287,30,
288,30,
289,30,
290,30,
291,30,
292,31,-780.32983|15.047362|0.69898295|-10.26|-0.331|5.052814|9.86647|0.7284|-8.4238|-1.866|-10.708|0.0886|6.435665|6.36061
293,31,
294,31,
295,31,
296,31,
297,31,
298,31,
299,32,-619.77704|16.676762|1.6908194|-10.69|-0.11|3.7894833|10.37225|0.34727|-8.9771|-1.8218|-11.3629|0.2766|6.147521|5.96463
300,32,
301,32,
302,32,
303,32,
304,33,-1190.5688|15.414497|0.23763941|-10.55|3.278|8.604567|9.91111|-3.02489|-6.9414|-0.0514|-9.2172|0.9514|7.596492|7.95413
305,33,
306,33,
307,33,
308,33,
309,33,
310,33,
311,33,
312,33,
313,33,
314,33,
315,33,
316,33,
317,34,-926.8223|13.972763|0.5179208|-11.859|1.469|5.3845754|11.43574|-1.11464|-9.2515|-0.319|-11.829|0.7911|6.293186|6.81112
318,34,
319,34,
320,34,
321,34,
322,34,
323,34,
324,34,
325,34,
