src,tgt,p_src,p_tgt
21,0,1033,35
905,0,103482,35
906,0,103515,35
1909,0,1050679,35
1940,0,1103960,35
1943,0,1103985,35
2059,0,1109199,35
2117,0,1112911,35
2122,0,1113438,35
2131,0,1113831,35
2143,0,1114331,35
2195,0,1117476,35
2229,0,1119505,35
2233,0,1119708,35
2248,0,1120431,35
2292,0,1123756,35
2301,0,1125386,35
2324,0,1127430,35
2336,0,1127913,35
2340,0,1128204,35
2342,0,1128227,35
2346,0,1128314,35
2353,0,1128453,35
2366,0,1128945,35
2368,0,1128959,35
2374,0,1128985,35
2378,0,1129018,35
2380,0,1129027,35
2396,0,1129573,35
2401,0,1129683,35
2402,0,1129778,35
2426,0,1130847,35
2427,0,1130856,35
2433,0,1131116,35
2469,0,1131360,35
2479,0,1131557,35
2492,0,1131752,35
2524,0,1133196,35
2525,0,1133338,35
2570,0,1136814,35
2572,0,1137466,35
2606,0,1152421,35
2610,0,1152508,35
2639,0,1153065,35
2655,0,1153280,35
2657,0,1153577,35
2666,0,1153853,35
2681,0,1153943,35
2695,0,1154176,35
2702,0,1154459,35
950,0,116552,35
240,0,12576,35
997,0,128540,35
1010,0,132806,35
1028,0,135130,35
1053,0,141342,35
1054,0,141347,35
1073,0,148170,35
281,0,15670,35
31,0,1688,35
1135,0,175291,35
1144,0,178727,35
311,0,18582,35
1173,0,190697,35
1175,0,190706,35
42,0,1956,35
1196,0,197054,35
1199,0,198443,35
1200,0,198653,35
1212,0,206371,35
1217,0,210871,35
1250,0,229635,35
1255,0,231249,35
1287,0,248425,35
1290,0,249421,35
1298,0,254923,35
1304,0,259701,35
1305,0,259702,35
1314,0,263279,35
1317,0,263498,35
1321,0,265203,35
1329,0,273152,35
399,0,27510,35
422,0,28290,35
1341,0,286500,35
1344,0,287787,35
445,0,28851,35
1348,0,289779,35
1349,0,289780,35
1350,0,289781,35
1366,0,307015,35
1393,0,335733,35
487,0,33904,35
488,0,33907,35
498,0,35061,35
524,0,38205,35
1434,0,387795,35
1460,0,415693,35
557,0,41714,35
1469,0,427606,35
571,0,44368,35
580,0,45599,35
583,0,46079,35
584,0,46431,35
1498,0,486840,35
605,0,48766,35
1502,0,503883,35
1503,0,503893,35
1509,0,513189,35
642,0,54129,35
643,0,54131,35
653,0,56119,35
1530,0,561238,35
1553,0,568857,35
1556,0,573964,35
1557,0,573978,35
1558,0,574009,35
1559,0,574264,35
1560,0,574462,35
1562,0,575077,35
1563,0,575292,35
1564,0,575331,35
1570,0,576725,35
1571,0,576795,35
1574,0,577227,35
1586,0,578780,35
1589,0,579008,35
1602,0,592973,35
1610,0,593091,35
1612,0,593105,35
1617,0,593240,35
1619,0,593260,35
1625,0,593813,35
1632,0,594047,35
1637,0,594543,35
1638,0,594649,35
1639,0,594900,35
1654,0,608326,35
1689,0,634902,35
1690,0,634904,35
1691,0,634938,35
1692,0,634975,35
1696,0,640617,35
1746,0,646809,35
1748,0,646837,35
1752,0,647408,35
1754,0,647447,35
712,0,66556,35
713,0,66563,35
720,0,66805,35
